,dist_to_cbd
0,8.61567212679618
1,9.715055405068137
2,10.828736243686933
3,9.097963683261396
4,10.869368047213317
5,10.301908578075444
6,9.232759149490942
7,9.020865209241215
8,9.232759149490942
9,9.509266727509662
10,9.948889394876225
11,9.368824788942087
12,9.294766682835046
13,9.13075809700075
14,9.994568146001596
15,9.489654823838782
16,9.480823748667182
17,10.849142917686105
18,9.063832662557182
19,10.904197497651921
20,9.477169723309315
21,9.74950219674118
22,9.31172958647637
23,9.469647794385907
24,9.576719184868265
25,10.019125617494419
26,8.538295792523515
27,9.717689523494508
28,8.6588337061186
29,9.700512442023598
30,9.196415080600946
31,9.662053738825497
32,9.939026255459122
33,8.768833999692431
34,8.702488578176197
35,10.683861610564096
36,9.918639593193152
37,9.667744005045552
38,9.699286109128236
39,8.860807187108598
40,10.869368047213317
41,9.182625855641101
42,9.084116503031922
43,9.11334496541327
44,10.56915902524622
45,9.13032542349274
46,9.701204147657673
47,9.693259768685687
48,9.693259768685687
49,9.617480436856503
50,9.385309397733474
51,9.872167476504726
52,9.678962987378599
53,9.72632583303432
54,8.962085681327153
55,10.518125068886278
56,11.118010135974288
57,9.88077279044021
58,11.194033080697606
59,9.940205570581211
60,10.015490414448303
61,8.77987589050229
62,9.23198779357549
63,9.344488831878165
64,8.121071747103516
65,10.187392359006784
66,9.792698579583345
67,9.940205570581211
68,11.216791191034954
69,8.210355181405188
70,10.10861228339679
71,9.55044435010287
72,10.9659876788648
73,10.9659876788648
74,10.940290331136321
75,9.716619377710437
76,9.590398466047247
77,9.716619377710437
78,8.879560069204173
79,11.194033080697606
80,9.9929511716602
81,9.490946274524065
82,9.716619377710437
83,9.981564330526904
84,10.968194945904266
85,9.759777127545497
86,9.590398466047247
87,9.771181369035391
88,8.89859432001286
89,10.697540031456024
90,10.758656296219595
91,10.541239540809453
92,10.280635711344873
93,10.34174201679891
94,11.068091626816635
95,11.032713210700042
96,8.692652357706985
97,8.793583583950346
98,11.081200907664147
99,8.931092648662606
100,8.931092648662606
101,10.951120059208511
102,9.497894580927506
103,10.082353454982965
104,8.353529858780131
105,11.081200907664147
106,10.53913138104783
107,9.982098510286143
108,11.01623851189163
109,9.454967488276454
110,10.982155850897026
111,7.991129487754483
112,10.296017504095612
113,8.475262919957373
114,9.142863599282261
115,8.293457172717218
116,10.112077642020944
117,10.91270163909623
118,8.984509564117689
119,10.4173380473396
120,10.328306653938517
