,distance_to_mrt
0,1.0002190239027458
1,1.26844598943041
2,1.0719242691469106
3,0.9458473209144792
4,1.094824742018516
5,0.6368096181014901
6,0.7554392872629282
7,1.0193121736037287
8,0.7554392872629282
9,0.5929910351080298
10,0.6868887359198086
11,1.4500788132918552
12,1.4937841251339945
13,1.0824889070035597
14,0.7128432650929937
15,1.302766583989429
16,0.7202975275512267
17,0.5503606707918328
18,0.6694021986844991
19,0.4182387732566127
20,0.5418016796226266
21,1.6626966451520178
22,0.4848090429998056
23,0.8814796037132236
24,0.4469425503991866
25,1.4090347240384993
26,0.979445424619296
27,1.5138148861203062
28,0.8455907802366732
29,0.9296574531073768
30,0.5353300471299971
31,0.7301798169318557
32,0.4544925435347323
33,1.21332484295355
34,1.1165240165237449
35,0.5367296410037585
36,0.9272968112120704
37,0.8710926611365446
38,1.6546507419462386
39,1.0242997308584538
40,1.094824742018516
41,0.942659164452067
42,0.8738878791526339
43,0.6480648377036065
44,0.29223641706315
45,0.4118418634060116
46,0.5040184837366994
47,0.522227365439316
48,0.522227365439316
49,1.122992431563014
50,0.3718276293008428
51,0.4223236100425767
52,0.444216491065687
53,0.4308258880146454
54,0.8510544750318203
55,0.7270670617753631
56,0.6781750645216844
57,0.8355494373798069
58,0.4711850802505501
59,0.7579111692961656
60,0.5430896523401652
61,0.3522134920832575
62,0.6794371645254694
63,0.779713327785174
64,0.6482167275635109
65,0.5215483997811088
66,0.7860431590839733
67,0.7579111692961656
68,0.5089555402668444
69,0.4350822207246523
70,0.6481334650360007
71,0.4485638323881189
72,0.6204340001588442
73,0.6204340001588442
74,0.5760567329147172
75,0.4947253967111074
76,0.63970459977079
77,0.4947253967111074
78,0.880777405217633
79,0.4711850802505501
80,0.475371017918474
81,0.4476658887993062
82,0.4947253967111074
83,0.6041539684000257
84,0.9509814274629476
85,0.5159594018941971
86,0.63970459977079
87,0.7087785049654164
88,0.4911027491748162
89,0.9052828587414412
90,0.8866669286997457
91,0.958293544507176
92,0.6251164554591889
93,0.6891362545625199
94,0.6507806858500721
95,0.6085116257629781
96,0.4973714004938889
97,0.3879003126947828
98,0.6718340233756956
99,0.530801376837412
100,0.530801376837412
101,0.8408457396435705
102,0.2393432128959515
103,0.628848238039303
104,0.7129978956201509
105,0.6718340233756956
106,0.356384971608084
107,0.7828883735826968
108,0.4269744248287294
109,0.6796700600981833
110,0.619784531196858
111,0.3797830343595066
112,0.5157979820448836
113,0.7085794979787134
114,0.8617197669801263
115,0.3213117705036719
116,0.6278620788014597
117,0.2978520665997071
118,0.92811699943285
119,0.363398238492728
120,0.4451610065760433
121,0.4079562105893588
122,0.500946582715677
123,0.8852725902116054
124,0.500946582715677
125,0.8206787097003303
126,0.9484245547218392
127,1.7304331468053755
128,0.5534418845364432
129,0.7853114919542704
130,0.7853114919542704
131,0.4171149941159436
132,0.4793557144951815
133,0.7282214762693545
134,0.4523801076009522
135,0.3300104153016699
136,0.4793557144951815
137,1.1748351913537358
138,0.830334554546986
139,0.6923603266392377
140,0.4507473225266826
141,1.393124263836769
142,1.722601246935363
143,0.5856715424144248
144,0.1576454160601604
145,0.830334554546986
146,0.7568587070604564
147,0.7290989124298366
148,0.5628768321697798
149,0.2996113735985103
150,0.6609309794975451
151,0.2507507865144497
152,0.4194687279396003
153,0.4058042259787136
154,0.6350266672960074
155,0.7492756954704968
156,0.4720200178316782
157,0.3562965432840435
158,0.4370354338979468
159,0.6350266672960074
160,0.4002738982179246
161,0.82836393802811
162,1.002642451873269
163,0.6401895802117864
164,1.069927592554794
165,0.2925971713283938
166,0.625801825506664
167,0.8441977238885378
168,1.002642451873269
169,1.1483171013197842
170,0.6321342682737152
171,0.4132994717351241
172,0.4194687279396003
173,1.2201604968857207
174,0.8514252232063486
175,0.792319604526138
176,1.0142318336377114
177,0.8364189298642695
178,0.2355830549052688
179,0.5623712982903524
180,0.2819322748085187
181,0.3950924259688121
182,0.5769171515743099
183,0.8514905068895586
184,0.5642340469427931
185,0.2622074117419977
186,0.3463837971617235
187,0.7893766541296718
188,0.2177616489812218
189,0.6651883624881143
190,0.2552958157462092
191,1.0020116826702088
192,0.7266637307150275
193,0.3063030477040839
194,1.315797738883368
195,0.6446848981314908
196,0.5533915341110722
197,0.1130811042194175
198,0.2395802087158707
199,1.1779556395904107
200,0.5489402556403586
201,0.8471715076459366
202,0.986360967056211
203,1.0221607835792368
204,0.6762694673702139
205,0.2096511407766212
206,0.4698828743082023
207,1.0221607835792368
208,0.6022109996616951
209,0.6219797041651517
210,0.6762694673702139
211,0.1454606262363595
212,0.3034588589696552
213,0.5662437152085946
214,0.4436395333367064
215,0.3452944771821037
216,0.9479325383721336
217,0.4133294342307127
218,0.4546816603507069
219,0.4546816603507069
220,0.5006964334397398
221,0.4234409436586585
222,0.5497267820956612
223,1.1749272909374668
224,0.6073811870684029
225,1.1988095888329604
226,0.9739044314254712
227,0.593581687919968
228,1.0998865648286331
229,0.8053183723389166
230,0.8053183723389166
231,0.6097072818608805
232,0.8178420116355222
233,0.4308905460899276
234,0.4308905460899276
235,0.4308905460899276
236,0.5192607121718869
237,0.239547156196331
238,0.1452562951436199
239,0.5192607121718869
240,0.5192607121718869
241,0.464449665690278
242,0.4308905460899276
243,0.6073811870684029
244,1.0998865648286331
245,0.6991381100755707
246,0.8292893007057865
247,0.5340965949045511
248,0.4296170200835182
249,0.7940868492782267
250,0.6732476489917467
251,0.418747829757515
252,0.172226647193894
253,0.1889466509018771
254,0.164194279299406
255,0.1854869193690939
256,0.2004845794917295
257,0.3225229183472893
258,0.14925411309985
259,0.1578583150757029
260,0.2631093479461669
261,0.1701563199195871
262,0.5112333355617773
263,0.2859341533375525
264,0.2760815332796915
265,0.2859341533375525
266,0.0996518273091369
267,0.2892962827032948
268,0.2861159205989118
269,0.3177062940345528
270,0.2842877139374596
271,0.1116284038967316
272,0.303198035063417
273,0.0996518273091369
274,0.5473526705522442
275,0.1442708712248043
276,0.1881069235918995
277,0.219357927288247
278,0.2614767782286987
279,0.2693884672803867
280,0.2919829675535587
281,0.140459076436303
282,0.3844241402800911
283,0.0929017300955298
284,0.189014331900724
285,0.1301158382642303
286,0.2283780895948092
287,0.3689072430791721
288,0.3689072430791721
289,0.3689072430791721
290,0.2759436159786505
291,0.3271625532705522
292,0.1791769444652995
293,0.1369654367093381
294,0.095513398312204
295,0.0895602851365084
296,0.3300264007715218
297,0.1104610457427768
298,0.4686935889831664
299,0.6265740296216241
300,0.2399618290316069
301,0.2126164904092589
302,0.1090762690605439
303,0.3192497607049268
304,0.1971736083091307
305,0.1971736083091307
306,0.2987776447916072
307,0.3461715087308949
308,0.4548875125890123
309,0.4548875125890123
310,0.2978364116670914
311,0.2245194128845537
312,0.2245194128845537
313,0.1814280203082507
314,1.179029940303406
315,0.1191131812888981
316,0.7156553391093011
317,0.5600711724799214
318,0.2368755140674859
319,0.4938201266685128
320,0.6905977645305038
321,0.4179735437008472
322,0.1232840642534005
323,0.1284652329183455
324,0.1550145223666534
325,0.3233300611089652
326,0.3930202127380492
327,0.1944177834977159
328,0.7156553391093011
329,0.5678026120176415
330,0.1799378867851633
331,0.4212433838835873
332,0.4507763732639195
333,0.3266313260361571
334,0.3669747206873278
335,0.2424179793299725
336,0.2949335991015247
337,0.3669747206873278
338,0.2949335991015247
339,1.159190886365686
340,0.683441755886933
341,0.5197324631906546
342,0.6726980952368586
343,0.4987706135878771
344,0.587233422732987
345,0.7382454582280871
346,0.7850193213593708
347,0.1582795458194436
348,0.1934034649951771
349,0.2661943307430975
350,0.5589694318672535
351,0.5702565699374819
352,0.3148508684522267
353,0.617833728654131
354,0.1445942714965166
355,1.3578066693863546
356,1.3578066693863546
357,0.9705730432964772
358,1.2183601603106542
359,0.4971874059147929
360,0.574519287873733
361,0.9661184908581826
362,0.6723914397241342
363,0.6186064178809302
364,0.3477062867754623
365,0.9705730432964772
366,0.7896325282700234
367,0.4749369155327571
368,0.7000053128940457
369,0.1584208403281296
370,0.7424559024115708
371,1.1515619691486978
372,1.4150486729129188
373,1.1262465757137172
374,1.3280650190276202
375,1.4150486729129188
376,0.6529174986485595
377,0.6537508617712725
378,0.084489906528207
379,0.7416820034662401
380,0.4430060423272064
381,1.3276854422731608
382,1.2733353983972069
383,0.3230700142849145
384,0.2608408980161806
385,0.4624535318875152
386,0.4871744313627258
387,0.4839739877110054
388,0.3006113794415173
389,0.158835998822572
390,0.4499805432009151
391,0.3894691595334524
392,0.4980354899935083
393,0.2787672483912925
394,0.3273538196887122
