,Latitude,Longitude
200,1.306564481,103.7693652
201,1.405071848,103.9112002
202,1.319968764,103.9237527
203,1.415320328,103.8378592
204,1.286513575,103.8371273
205,1.38376923,103.8913547
206,1.378016876,103.9392022
207,1.372840601,103.9597282
208,1.372451327,103.9629227
209,1.354227327,103.9489626
210,1.35025456,103.8848469
211,1.350967559,103.8851201
212,1.336778644,103.8553413
213,1.338073021,103.7762509
214,1.39037505,103.8784617
215,1.316528629,103.7676823
216,1.359515832,103.8700107
217,1.366659447,103.8302161
218,1.417416276,103.8301432
219,1.327016728,103.9207007
220,1.348836175,103.6950038
221,1.357651219,103.9352465
222,1.381754374,103.842383
223,1.349190989,103.7407192
224,1.41197712,103.899148
225,1.402390917,103.8987719
226,1.378200625,103.8946672
227,1.402057384,103.9092137
228,1.405788994,103.905191
229,1.313265833,103.7566291
230,1.442035966,103.7883398
231,1.295529056,103.8076485
232,1.293521268,103.813191
233,1.300222716,103.8022073
234,1.274897015,103.8241158
235,1.330041781,103.8063978
236,1.342174799,103.843134
237,1.346187758,103.8458751
238,1.334056596,103.9343175
239,1.393279083,103.7510344
240,1.344595842,103.7081907
241,1.294183478,103.8360189
242,1.447004265,103.801889
243,1.441101571,103.7883082
244,1.393335063,103.9045453
245,1.372858365,103.8747717
246,1.346738689,103.718458
247,1.312928106,103.7740115
248,1.299364804,103.8486874
249,1.44574531,103.8211527
250,1.374390978,103.8272282
251,1.389250448,103.8995279
252,1.386596831,103.898365
253,1.392540093,103.8749849
254,1.369325705,103.8692703
255,1.374655388,103.9021387
256,1.346869673,103.7215594
257,1.432409357,103.7860351
258,1.320634084,103.828165
259,1.320634084,103.828165
260,1.426411406,103.7894448
261,1.38143124,103.7471537
262,1.437037508,103.8041005
263,1.395285445,103.8894164
264,1.349573035,103.9303545
265,1.333065157,103.8635764
266,1.331402553,103.8651171
267,1.33069361,103.8662491
268,1.334725373,103.9412349
269,1.334663135,103.9419772
270,1.364119485,103.7492519
271,1.349307668,103.8623099
272,1.366082932,103.8732053
273,1.34967979,103.9370164
274,1.349739224,103.937608
275,1.323653135,103.828499
276,1.317814761,103.8456333
277,1.324391503,103.8816248
278,1.319774641,103.8096022
279,1.307883419,103.9176382
280,1.318789973,103.9172581
281,1.303859599,103.8569551
282,1.364717427,103.7503961
283,1.376333469,103.9369907
284,1.36048786,103.9487689
285,1.349943338,103.9434024
286,1.349260948,103.9442637
287,1.309701692,103.7581584
288,1.307562618,103.8961072
289,1.30498489,103.9
290,1.30873516,103.8972252
291,1.305285287,103.9115532
292,1.365650185,103.8510098
293,1.383886605,103.7539246
294,1.383334226,103.7551033
295,1.33109611,103.9110053
296,1.31849283,103.9355673
297,1.317203417,103.9457594
298,1.315916732,103.9475641
299,1.359946495,103.853769
300,1.402783032,103.7468012
301,1.400015241,103.7460209
302,1.407441682,103.8987622
303,1.306701742,103.9199827
304,1.308713027,103.927981
305,1.399726333,103.9183465
306,1.451685176,103.8225162
307,1.344771143,103.6990301
308,1.389179718,103.7663977
309,1.387822833,103.7601288
310,1.383785465,103.7602734
311,1.347710965,103.7004675
312,1.353736985,103.7017721
313,1.365717444,103.9610714
314,1.355052085,103.8425524
315,1.432736207,103.7902303
316,1.428318281,103.7960476
317,1.436582707,103.7917913
318,1.434851794,103.7974143
319,1.436488947,103.8001485
320,1.440836492,103.7826173
321,1.357996538,103.8902164
322,1.342706397,103.6875885
323,1.371767983,103.8828099
324,1.372558847,103.8830516
325,1.433471869,103.8377553
326,1.348976808,103.8684671
327,1.396726035,103.751818
328,1.377932643,103.8856437
329,1.377975977,103.842137
330,1.424266926,103.8300317
331,1.433976173,103.8340508
332,1.428133243,103.8287643
333,1.432321567,103.8380942
334,1.333980379,103.932015
335,1.342006358,103.7208987
336,1.342919816,103.7408611
337,1.347186269,103.7226872
338,1.351315699,103.9505511
339,1.342339214,103.7600326
340,1.357135953,103.8901948
341,1.284211539,103.8259519
342,1.379428736,103.7697032
343,1.389200513,103.7653729
344,1.360260725,103.8697125
345,1.348407208,103.8694305
